joy,joyfully,0.518
joy,mirth,0.517
joy,amazement,0.515
joy,love,0.515
joy,joyfulness,0.513
joy,exuberance,0.512
joy,excitment,0.511
joy,emotion,0.509
joy,long,0.505
joy,enjoyment,0.504
joy,laughter,0.497
joy,gratefulness,0.494
joy,zest,0.487
joy,hapiness,0.480
joy,grief,0.480
joy,vivaciousness,0.479
joy,frustration,0.477
joy,rejoice,0.476
joy,indescribable,0.476
sadness,sorrow,0.865
sadness,grief,0.710
sadness,anguish,0.686
sadness,saddness,0.641
sadness,despair,0.622
sadness,elation,0.615
sadness,regret,0.607
sadness,joy,0.598
sadness,heartache,0.594
sadness,emptiness,0.589
sadness,heartbreak,0.587
sadness,melancholy,0.571
sadness,disappointment,0.568
sadness,bitterness,0.565
sadness,sad,0.555
sadness,sorrowful,0.555
sadness,bewilderment,0.554
sadness,emotion,0.552
sadness,poignancy,0.552
sadness,despondency,0.547
sadness,inexpressible,0.545
sadness,wistfulness,0.540
sadness,hopelessness,0.538
sadness,bittersweet,0.535
sadness,grieve,0.535
sadness,dejection,0.533
sadness,thankfulness,0.532
sadness,feeling,0.531
sadness,helplessness,0.528
sadness,desolation,0.521
sadness,mourn,0.520
sadness,grieve,0.518
sadness,gratitude,0.516
sadness,sadden,0.515
sadness,bittersweetness,0.515
sadness,perplexity,0.511
sadness,tragic,0.511
sadness,loneliness,0.510
sadness,woundedness,0.510
sadness,dread,0.503
sadness,hopefulness,0.502
sadness,long,0.499
sadness,anxiety,0.498
sadness,trepidation,0.498
sadness,regretfulness,0.497
sadness,tragedy,0.497
sadness,grief,0.497
sadness,joyousness,0.496
sadness,gratefulness,0.495
sadness,gladness,0.494
surprise,suprise,0.743
surprise,surprise,0.675
surprise,shocker,0.651
surprise,surpise,0.623
surprise,surprise,0.599
surprise,surprise,0.595
surprise,shock,0.571
surprise,disappointment,0.537
surprise,suprising,0.521
surprise,shock,0.518
surprise,coincidence,0.485
surprise,unexpected,0.482
surprise,shock,0.473
surprise,unsurprising,0.473
surprise,suprises,0.469
surprise,brainer,0.468
surprise,stun,0.467
surprise,startle,0.465
surprise,suprised,0.459
surprise,disappoint,0.449
surprise,aback,0.449
surprise,stunner,0.444
surprise,delight,0.443
surprise,unawares,0.439
surprise,astonishment,0.436
surprise,dismay,0.435
surprise,upset,0.434
surprise,bombshell,0.432
surprise,Surprising,0.430
surprise,revelation,0.430
surprise,shocker,0.429
surprise,flabbergast,0.424
surprise,surpirse,0.419
surprise,amazement,0.419
surprise,consternation,0.418
surprise,disappoint,0.417
surprise,inkling,0.417
surprise,chagrin,0.416
surprise,disconcert,0.415
surprise,disappoint,0.413
surprise,dishearten,0.409
surprise,hearten,0.409
surprise,letdown,0.408
surprise,astonish,0.405
surprise,unsurprised,0.403
surprise,noteworthy,0.402
surprise,startle,0.402
surprise,bummer,0.401
surprise,trepidation,0.401
surprise,astonish,0.401
trust,trust,0.598
trust,trust,0.547
trust,confidence,0.479
trust,faith,0.455
trust,trust,0.447
trust,fundholders,0.445
trust,distrust,0.436
trust,trustworthiness,0.425
trust,trustworthy,0.424
trust,respect,0.423
trust,resonsibility,0.418
trust,rapport,0.412
trust,loyalty,0.411
trust,Trusts,0.409
trust,fund,0.405
trust,credibility,0.399
trust,integrity,0.399
trust,betray,0.396
trust,OPTrust,0.392
trust,honesty,0.391
trust,entrust,0.389
trust,pursuable,0.385
trust,entrust,0.382
trust,mistrust,0.380
trust,confidence,0.379
trust,Obamaite,0.377
trust,esteem,0.377
trust,creditability,0.376
trust,fiduciary,0.376
trust,unitrust,0.373
trust,goodwill,0.373
trust,intergrity,0.372
trust,Settlor,0.370
trust,credibilty,0.369
trust,nondiversified,0.367
trust,crediblity,0.367
trust,relationship,0.366
trust,escheated,0.365
trust,Weantinoge,0.359
trust,PWT.DB.F,0.358
trust,respectfulness,0.356
trust,trusteeship,0.356
trust,betray,0.355
trust,settlor,0.353
trust,CaRIT,0.351
trust,accountable,0.350
trust,diginity,0.349
trust,competence,0.348
trust,predecease,0.348
trust,Tenens,0.346
